condition,food,warning,explanation
cardiovascular disease,milk,dangerous,"Milk and dairy products containing milk fat are major food sources of saturated fatty acids, which have been linked to increased risk of cardiovascular-related clinical outcomes such as cardiovascular disease (CVD), coronary heart disease (CHD), and stroke."
Hypertension,coffee/soda drink/iced tea,dangerous,coffee/soda drink/iced tea is high in fat/sugar and may worsen hypertension.
obesity,diets with high fat and carbohydrate content,dangerous,"Among other factors, diets with high fat and carbohydrate content have been implicated in obesity."
Prediabetes,Cream,dangerous,Cream is high in fat/sugar and may worsen prediabetes.
Prediabetes,raw vegetables,can worsen,raw vegetables with serving size 120.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
alzheimer's disease,ginger,safe,Ginger has been reportedly used for the management or treatment of Alzheimer's disease in folklore medicine.
dermatitis,onion,dangerous,"Onion (Allium cepa) handling can induce contact dermatitis, rhinoconjunctivitis and asthma."
metabolic syndrome,tropical fruits,safe,"Tropical foods such as seaweeds and tropical fruits including indigenous fruits such as Davidson's plums are effective in reducing these signs of metabolic syndrome in rats, as well as reducing degeneration of bone cartilage and altering gut microbiome."
cognitive decline,tofu,safe,"Cell culture studies suggest that phytoestrogens, abundant in soy products such as tempe and tofu, could protect against cognitive decline."
inflammation,fruit,safe,Fruit and vegetables are still not being eaten in adequate amounts and yet contain micronutrients and phytochemicals useful for bone remodelling (bone formation and resorption) and are essential for reducing inflammation and oxidative stress.
ailments,oil tea,safe,Oil tea has traditionally been used in minority populations in China for treating various ailments in traditional Chinese medicine.
non-communicable diseases,ultra-processed foods,dangerous,"There is a causal link between the consumption of ultra-processed foods and a range of non-communicable diseases (NCDs) such as obesity, type 2 diabetes and cancers."
neural tube defects,wheat flour,safe,"The mandatory fortification of enriched cereal grains (e.g., wheat flour) with folic acid, which began in the United States in 1998, is an example of a successful intervention that significantly reduced the rate of neural tube defects (NTDs)."
Prediabetes,Nuts,safe,Nuts may support balanced diet for prediabetes.
baker's asthma,wheat flour,dangerous,Sensitization to wheat flour plays an important role in the development and diagnosis of baker's asthma.
cartilage destruction,broccoli,safe,"We have previously demonstrated that sulforaphane, a dietary isothiocyanate derived from its glucosinolate precursor which is found in broccoli, can prevent cartilage destruction in cells, in in vitro and in vivo models of osteoarthritis."
Prediabetes,frozen meal (containing meat and vegetables),safe,frozen meal (containing meat and vegetables) is nutritious and may help manage prediabetes.
Prediabetes,Stew (meat/rice/vegetable),can worsen,Stew (meat/rice/vegetable) with serving size 140.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,grapefruit/lemon/orange,safe,grapefruit/lemon/orange is nutritious and may help manage hypertension.
ailments,garlic,safe,"Garlic (Allium sativum) is a popular spice, a remedy for a variety of ailments and is also known for its medicinal uses as an antibiotic, antithrombotic and antineoplastic agent."
Hypertension,Beans,can worsen,Beans with serving size 28.4g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
human diseases,ginger,safe,"Natural products, such as ginger, curcumin, and gingko biloba have been used as diets and dietary supplements to treat human diseases, including cancer, cardiovascular, respiratory, infectious, diabetes, obesity, metabolic syndromes, and neurological disorders."
Hypertension,Beef,can worsen,Beef with serving size 65.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
chronic diseases,beans,safe,Beans can contribute to a food-first approach to healthy aging as they are nutrient-dense and can reduce the risk of chronic diseases.
chronic diseases,fruit,safe,"Higher consumption of fruit and vegetables has been associated with a lower risk of various chronic diseases including coronary heart disease, obesity, and certain cancers."
infections,breast milk,safe,Breast milk is not only a completely adapted nutrition source for the newborn but also an impressive array of immune-active molecules that afford protection against infections and shape mucosal immune responses.
bronchitis,eucalyptus oil,safe,"Eucalyptol (1,8-cineole), the major constituent of eucalyptus oil (EO), was used in traditional medicine as a remedy for colds and bronchitis."
Prediabetes,potato,can worsen,potato with serving size 369.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,Ice Cream,dangerous,Ice Cream is high in fat/sugar and may worsen prediabetes.
"cardiovascular, neurodegenerative",docosahexaenoic acid,safe,"Omega-3 fatty acids (ÃÂÃÂÃÂÃÂ-3FAs) such as Docosahexaenoic acid (DHA) and Eicosapentanoic acid (EPA), are active ingredient of fish oil, which have larger health benefits against various diseases including cardiovascular, neurodegenerative, cancers and bone diseases."
bronchiolitis obliterans,diacetyl-containing butter flavor,dangerous,Diacetyl-containing butter flavor was identified as the cause of an outbreak of bronchiolitis obliterans (BO) and other lung diseases in popcorn-plant workers.
Hypertension,Fish,safe,Fish is nutritious and may help manage hypertension.
noncommunicable chronic diseases,ultra-processed foods,dangerous,Processed and ultra-processed foods (UPF) consumption has been associated with development of noncommunicable chronic diseases (NCD).
Hypertension,Seeds,can worsen,Seeds with serving size 30.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
memory deficits,green tea from camellia sinensis,safe,"Green tea from Camellia sinensis plays a neuroprotective role in different neurodegenerative conditions, such as memory deficits in Alzheimer disease (AD)."
cvd,cocoa,safe,"The consumption of natural polyphenol-rich foods, and cocoa in particular, has been related to a reduced risk of CVD, including coronary heart disease and stroke."
cognitive decline,tofu,safe,"Cell culture studies suggest that phytoestrogens, abundant in soy products such as tempe and tofu, could protect against cognitive decline."
haemotoxicity,fava beans,dangerous,"Fava beans (FBs) have long been used as food, and their principal disadvantage is derived from their haemotoxicity."
cancer,garlic,safe,"Epidemiological evidence indicates that a high dietary intake of plants of the Allium family, such as garlic and onions, is associated with a decreased risk of cancer in humans."
inflammation,improved nutrition,safe,"The nutrition pyramid described in our narrative review is hypothetical, even in light of several limitations of the present review; the main limitation is the fact that to date there are no randomized controlled trials in the literature clearly showing that improved nutrition, via the regulation of carbon dioxide produced/oxygen consumed, inflammation and oxidative stress, improves symptoms and/or progression of COPD."
human diseases,ginger,safe,"Natural products, such as ginger, curcumin, and gingko biloba have been used as diets and dietary supplements to treat human diseases, including cancer, cardiovascular, respiratory, infectious, diabetes, obesity, metabolic syndromes, and neurological disorders."
allergies,peanut,dangerous,The characteristics of tree nuts (TNs) and peanut (PN) allergies vary in different regions of the world.
Prediabetes,Bread,can worsen,Bread with serving size 25.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
ad,beer,safe,"High levels of consumption (>92 times/month) of fermented foods such as doenjang, chungkookjang, kimchi, fermented seafood, makgeolli, and beer were associated with a lower prevalence of AD (OR, 0.56; 95% confidence interval [CI], 0.37-0.84)."
degenerative diseases,dark tea,safe,Dark tea has a significant effect on the prevention and treatment of age-related degenerative diseases.
Hypertension,butter,can worsen,butter with serving size 14.2g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
osteoporosis,milk,safe,Biologically active peptides in milk proteins can be used as effective dietary supplements for management of bone-associated issues including osteoporosis.
Hypertension,milk,can worsen,milk with serving size 244.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
hemolytic anemia,garlic,dangerous,"We recently identified sodium n-propyl thiosulfate (NPTS) and sodium 2-propenyl thiosulfate (2PTS) from boiled onion and garlic, respectively, as causative agents of hemolytic anemia in dogs."
alzheimer's disease,phenolic acids,safe,Numerous authors have provided evidence regarding the beneficial effects of phenolic acids and their derivatives against Alzheimer's disease (AD).
