food,safe_alternative,reason
ramen with pork,grilled tandoori chicken,Grilled tandoori chicken is includes more vegetables and micronutrients compared to ramen with pork.
maggi noodles,no butter dal fry (less oil),No butter dal fry (less oil) is fermented or dairy option aids digestion compared to maggi noodles.
butter hakka noodles,light herbal tea,Light herbal tea is baked or steamed instead of deep-fried compared to butter hakka noodles.
pakora,herbal tea,Herbal tea is reduced oil and lighter on the stomach compared to pakora.
momos fried,tandoori chicken,Tandoori chicken is lower in saturated fat and calories compared to momos fried.
family pack cheeseburger,no sugar steamed idli,No sugar steamed idli is whole grains provide sustained energy compared to family pack cheeseburger.
small halwa,dal fry (less oil),Dal fry (less oil) is fermented or dairy option aids digestion compared to small halwa.
small flavored yogurt,vegetable upma,Vegetable upma is contains more protein to keep you full compared to small flavored yogurt.
manchurian,no sugar herbal tea,No sugar herbal tea is contains more protein to keep you full compared to manchurian.
lachha paratha,grilled tofu stir-fry,Grilled tofu stir-fry is contains more protein to keep you full compared to lachha paratha.
black forest cake,air-popped popcorn,Air-popped popcorn is includes more vegetables and micronutrients compared to black forest cake.
flavored yogurt,hand-pounded rice,Hand-pounded rice is baked or steamed instead of deep-fried compared to flavored yogurt.
kathi roll,unsweetened tofu tikka,Unsweetened tofu tikka is whole grains provide sustained energy compared to kathi roll.
mutton biryani,grilled air-popped popcorn,Grilled air-popped popcorn is less sugar and better for blood glucose control compared to mutton biryani.
masala butter chicken,brown rice,Brown rice is baked or steamed instead of deep-fried compared to masala butter chicken.
fried rice,plain millet roti,Plain millet roti is whole grains provide sustained energy compared to fried rice.
momos fried,moong chilla,Moong chilla is baked or steamed instead of deep-fried compared to momos fried.
loaded pepperoni pizza,homestyle cucumber salad,Homestyle cucumber salad is includes more vegetables and micronutrients compared to loaded pepperoni pizza.
popcorn butter,plain plain khichdi,Plain plain khichdi is includes more vegetables and micronutrients compared to popcorn butter.
small white bread,no sugar vegetable khichdi,No sugar vegetable khichdi is less sugar and better for blood glucose control compared to small white bread.
pav bhaji,plain dosa,Plain dosa is includes more vegetables and micronutrients compared to pav bhaji.
garlic paneer butter masala,homestyle tofu tikka,Homestyle tofu tikka is includes more vegetables and micronutrients compared to garlic paneer butter masala.
sweet lassi,ragi dosa,Ragi dosa is lower sodium content supports heart health compared to sweet lassi.
french fries,homestyle roasted veggies,Homestyle roasted veggies is includes more vegetables and micronutrients compared to french fries.
loaded hakka noodles,no butter black coffee (no sugar),No butter black coffee (no sugar) is reduced oil and lighter on the stomach compared to loaded hakka noodles.
garlic spring rolls,plain khichdi,Plain khichdi is baked or steamed instead of deep-fried compared to garlic spring rolls.
butter chicken,unsweetened cucumber salad,Unsweetened cucumber salad is less sugar and better for blood glucose control compared to butter chicken.
bhatura,sprouts salad,Sprouts salad is reduced oil and lighter on the stomach compared to bhatura.
manchurian,low-oil grilled fish,Low-oil grilled fish is baked or steamed instead of deep-fried compared to manchurian.
white bread,baked samosa,Baked samosa is includes more vegetables and micronutrients compared to white bread.
jalebi,brown rice,Brown rice is less sugar and better for blood glucose control compared to jalebi.
butter kathi roll,baked plain khichdi,Baked plain khichdi is higher in fiber which improves satiety compared to butter kathi roll.
kaju katli,herbal tea,Herbal tea is includes more vegetables and micronutrients compared to kaju katli.
spring rolls,light plain dosa,Light plain dosa is lower in saturated fat and calories compared to spring rolls.
tortilla chips,no butter sweet potato chaat,No butter sweet potato chaat is reduced oil and lighter on the stomach compared to tortilla chips.
small momos fried,tofu tikka,Tofu tikka is lower sodium content supports heart health compared to small momos fried.
cold coffee,roasted chana,Roasted chana is lower in saturated fat and calories compared to cold coffee.
samosa,buttermilk,Buttermilk is fermented or dairy option aids digestion compared to samosa.
double cold coffee,stir-fried veggies,Stir-fried veggies is reduced oil and lighter on the stomach compared to double cold coffee.
masala popcorn butter,grilled nuts mix (unsalted),Grilled nuts mix (unsalted) is higher in fiber which improves satiety compared to masala popcorn butter.
butter falooda,herbal tea,Herbal tea is reduced oil and lighter on the stomach compared to butter falooda.
garlic sugarcane juice,sweet potato chaat,Sweet potato chaat is baked or steamed instead of deep-fried compared to garlic sugarcane juice.
loaded black forest cake,plain dal tadka,Plain dal tadka is lower sodium content supports heart health compared to loaded black forest cake.
veg biryani,unsweetened vegetable upma,Unsweetened vegetable upma is fermented or dairy option aids digestion compared to veg biryani.
family pack pepperoni pizza,unsweetened sattu drink (unsweetened),Unsweetened sattu drink (unsweetened) is whole grains provide sustained energy compared to family pack pepperoni pizza.
fried chicken,lemon water,Lemon water is contains more protein to keep you full compared to fried chicken.
jalebi,fruit salad,Fruit salad is reduced oil and lighter on the stomach compared to jalebi.
samosa,steamed sauteed greens,Steamed sauteed greens is lower in saturated fat and calories compared to samosa.
masala pani puri,light nuts mix (unsalted),Light nuts mix (unsalted) is includes more vegetables and micronutrients compared to masala pani puri.
regular sev puri,whole wheat roti,Whole wheat roti is baked or steamed instead of deep-fried compared to regular sev puri.
chicken nuggets,low-fat yogurt,Low-fat yogurt is lower sodium content supports heart health compared to chicken nuggets.
garlic bread,vegetable upma,Vegetable upma is less sugar and better for blood glucose control compared to garlic bread.
misal pav,oats upma,Oats upma is contains more protein to keep you full compared to misal pav.
jalebi,no butter baked samosa,No butter baked samosa is lower sodium content supports heart health compared to jalebi.
small fried rice,unsweetened roasted veggies,Unsweetened roasted veggies is contains more protein to keep you full compared to small fried rice.
butter fish and chips,greek yogurt,Greek yogurt is lower in saturated fat and calories compared to butter fish and chips.
sweet lassi,grilled tandoori chicken,Grilled tandoori chicken is lower in saturated fat and calories compared to sweet lassi.
laddu,greek yogurt,Greek yogurt is fermented or dairy option aids digestion compared to laddu.
laddu,cucumber salad,Cucumber salad is includes more vegetables and micronutrients compared to laddu.
misal pav,black coffee (no sugar),Black coffee (no sugar) is less sugar and better for blood glucose control compared to misal pav.
family pack pani puri,air-popped popcorn,Air-popped popcorn is lower sodium content supports heart health compared to family pack pani puri.
poori,sauteed greens,Sauteed greens is lower sodium content supports heart health compared to poori.
masala bhujia,roasted veggies,Roasted veggies is baked or steamed instead of deep-fried compared to masala bhujia.
large hakka noodles,unsweetened multigrain roti,Unsweetened multigrain roti is contains more protein to keep you full compared to large hakka noodles.
kulcha,plain roasted chana,Plain roasted chana is less sugar and better for blood glucose control compared to kulcha.
butter halwa,steamed hand-pounded rice,Steamed hand-pounded rice is contains more protein to keep you full compared to butter halwa.
large butter chicken,paneer tikka,Paneer tikka is includes more vegetables and micronutrients compared to large butter chicken.
regular nachos,plain baked samosa,Plain baked samosa is lower in saturated fat and calories compared to regular nachos.
falooda,dark chocolate (small piece),Dark chocolate (small piece) is fermented or dairy option aids digestion compared to falooda.
spring rolls,coconut water,Coconut water is baked or steamed instead of deep-fried compared to spring rolls.
samosa,tandoori chicken,Tandoori chicken is baked or steamed instead of deep-fried compared to samosa.
large cheeseburger,buttermilk,Buttermilk is whole grains provide sustained energy compared to large cheeseburger.
