medicine,food,interaction,warning,explanation
nitrofurantoin,rasam,safe,no major risk,Rasam with nitrofurantoin generally poses no significant problem when consumed in moderation.
tacrolimus,biryani,safe,no major risk,Biryani with tacrolimus generally poses no significant problem when consumed in moderation.
pioglitazone,jalebi,safe,no major risk,Jalebi with pioglitazone generally poses no significant problem when consumed in moderation.
phenytoin,coconut water,safe,no major risk,Coconut water with phenytoin generally poses no significant problem when consumed in moderation.
fluoxetine,french fries,safe,no major risk,French fries with fluoxetine generally poses no significant problem when consumed in moderation.
diclofenac,black tea,safe,no major risk,Black tea with diclofenac generally poses no significant problem when consumed in moderation.
pioglitazone,bitter gourd,safe,no major risk,Bitter gourd with pioglitazone generally poses no significant problem when consumed in moderation.
azithromycin,bitter gourd,safe,no major risk,Bitter gourd with azithromycin generally poses no significant problem when consumed in moderation.
lisinopril,oats,safe,no major risk,Oats with lisinopril generally poses no significant problem when consumed in moderation.
nitrofurantoin,sambar,safe,no major risk,Sambar with nitrofurantoin generally poses no significant problem when consumed in moderation.
bupropion,spinach soup,safe,no major risk,Spinach soup with bupropion generally poses no significant problem when consumed in moderation.
isocarboxazid,black tea,safe,no major risk,Black tea with isocarboxazid generally poses no significant problem when consumed in moderation.
citalopram,peda,safe,no major risk,Peda with citalopram generally poses no significant problem when consumed in moderation.
clarithromycin,amla,safe,no major risk,Amla with clarithromycin generally poses no significant problem when consumed in moderation.
glimepiride,black tea,safe,no major risk,Black tea with glimepiride generally poses no significant problem when consumed in moderation.
citalopram,coffee,safe,no major risk,Coffee with citalopram generally poses no significant problem when consumed in moderation.
naproxen,alcohol,risky,stomach irritation,Alcohol with naproxen may increase gastric irritation or bleeding risk.
metronidazole,upma,safe,no major risk,Upma with metronidazole generally poses no significant problem when consumed in moderation.
pravastatin,ginger,safe,no major risk,Ginger with pravastatin generally poses no significant problem when consumed in moderation.
gliclazide,idli,safe,no major risk,Idli with gliclazide generally poses no significant problem when consumed in moderation.
levothyroxine,black tea,safe,no major risk,Black tea with levothyroxine generally poses no significant problem when consumed in moderation.
insulin,samosa,safe,no major risk,Samosa with insulin generally poses no significant problem when consumed in moderation.
diphenhydramine,alcohol,safe,no major risk,Alcohol with diphenhydramine generally poses no significant problem when consumed in moderation.
phenelzine,laddu,safe,no major risk,Laddu with phenelzine generally poses no significant problem when consumed in moderation.
ciprofloxacin,ramen,safe,no major risk,Ramen with ciprofloxacin generally poses no significant problem when consumed in moderation.
losartan,brown rice,safe,no major risk,Brown rice with losartan generally poses no significant problem when consumed in moderation.
metoprolol,raisins,safe,no major risk,Raisins with metoprolol generally poses no significant problem when consumed in moderation.
calcium supplements,milk,safe,no major risk,Milk with calcium supplements generally poses no significant problem when consumed in moderation.
apixaban,momos,safe,no major risk,Momos with apixaban generally poses no significant problem when consumed in moderation.
fexofenadine,bhujia,safe,no major risk,Bhujia with fexofenadine generally poses no significant problem when consumed in moderation.
insulin,milk,safe,no major risk,Milk with insulin generally poses no significant problem when consumed in moderation.
lisinopril,whole wheat roti,safe,no major risk,Whole wheat roti with lisinopril generally poses no significant problem when consumed in moderation.
lithium,pakora,safe,no major risk,Pakora with lithium generally poses no significant problem when consumed in moderation.
ketoconazole,rasam,safe,no major risk,Rasam with ketoconazole generally poses no significant problem when consumed in moderation.
atorvastatin,bhujia,safe,no major risk,Bhujia with atorvastatin generally poses no significant problem when consumed in moderation.
telmisartan,dates,risky,raises potassium,Dates is potassium-rich; ARBs can raise serum potassium.
naproxen,rajma,safe,no major risk,Rajma with naproxen generally poses no significant problem when consumed in moderation.
apixaban,red wine,safe,no major risk,Red wine with apixaban generally poses no significant problem when consumed in moderation.
carbamazepine,biryani,safe,no major risk,Biryani with carbamazepine generally poses no significant problem when consumed in moderation.
diphenhydramine,peda,safe,no major risk,Peda with diphenhydramine generally poses no significant problem when consumed in moderation.
loratadine,khichdi,safe,no major risk,Khichdi with loratadine generally poses no significant problem when consumed in moderation.
ibuprofen,yogurt,safe,no major risk,Yogurt with ibuprofen generally poses no significant problem when consumed in moderation.
valproate,yogurt,safe,no major risk,Yogurt with valproate generally poses no significant problem when consumed in moderation.
levetiracetam,soy sauce,safe,no major risk,Soy sauce with levetiracetam generally poses no significant problem when consumed in moderation.
pioglitazone,rajma,safe,no major risk,Rajma with pioglitazone generally poses no significant problem when consumed in moderation.
rivaroxaban,turmeric latte,safe,no major risk,Turmeric latte with rivaroxaban generally poses no significant problem when consumed in moderation.
paracetamol,khichdi,safe,no major risk,Khichdi with paracetamol generally poses no significant problem when consumed in moderation.
losartan,red wine,safe,no major risk,Red wine with losartan generally poses no significant problem when consumed in moderation.
citalopram,khichdi,safe,no major risk,Khichdi with citalopram generally poses no significant problem when consumed in moderation.
tranylcypromine,kimchi,dangerous,hypertensive crisis,Tyramine in kimchi can cause severe hypertension with MAOIs like tranylcypromine.
telmisartan,idli,safe,no major risk,Idli with telmisartan generally poses no significant problem when consumed in moderation.
citalopram,naan,safe,no major risk,Naan with citalopram generally poses no significant problem when consumed in moderation.
warfarin,kimchi,safe,no major risk,Kimchi with warfarin generally poses no significant problem when consumed in moderation.
ciprofloxacin,orange juice,safe,no major risk,Orange juice with ciprofloxacin generally poses no significant problem when consumed in moderation.
pioglitazone,green tea,safe,no major risk,Green tea with pioglitazone generally poses no significant problem when consumed in moderation.
